CID,카테고리명,몰,1Depth,2Depth,3Depth
76725,예비고등,국내도서,중학교참고서,예비고등,
76790,중1-문제집,국내도서,중학교참고서,중1-문제집,
76842,과학(중등1),국내도서,중학교참고서,중1-문제집,과학(중등1)
76839,국어(중등1),국내도서,중학교참고서,중1-문제집,국어(중등1)
76844,기술.가정(중등1),국내도서,중학교참고서,중1-문제집,기술.가정(중등1)
76845,기타(중등1),국내도서,중학교참고서,중1-문제집,기타(중등1)
76847,도덕(중등1),국내도서,중학교참고서,중1-문제집,도덕(중등1)
76843,사회.역사(중등1),국내도서,중학교참고서,중1-문제집,사회.역사(중등1)
76841,수학(중등1),국내도서,중학교참고서,중1-문제집,수학(중등1)
76840,영어(중등1),국내도서,중학교참고서,중1-문제집,영어(중등1)
76846,중간.기말고사(중등1),국내도서,중학교참고서,중1-문제집,중간.기말고사(중등1)
76793,중1-자습서,국내도서,중학교참고서,중1-자습서,
76812,과학(중등1),국내도서,중학교참고서,중1-자습서,과학(중등1)
76813,국어(중등1),국내도서,중학교참고서,중1-자습서,국어(중등1)
76814,기술.가정(중등1),국내도서,중학교참고서,중1-자습서,기술.가정(중등1)
76819,기타(중등1),국내도서,중학교참고서,중1-자습서,기타(중등1)
76818,도덕(중등1),국내도서,중학교참고서,중1-자습서,도덕(중등1)
76815,사회.역사(중등1),국내도서,중학교참고서,중1-자습서,사회.역사(중등1)
76816,수학(중등1),국내도서,중학교참고서,중1-자습서,수학(중등1)
76817,영어(중등1),국내도서,중학교참고서,중1-자습서,영어(중등1)
76791,중2-문제집,국내도서,중학교참고서,중2-문제집,
76830,과학(중등2),국내도서,중학교참고서,중2-문제집,과학(중등2)
76831,국어(중등2),국내도서,중학교참고서,중2-문제집,국어(중등2)
76832,기술.가정(중등2),국내도서,중학교참고서,중2-문제집,기술.가정(중등2)
76838,기타(중등2),국내도서,중학교참고서,중2-문제집,기타(중등2)
76837,도덕(중등2),국내도서,중학교참고서,중2-문제집,도덕(중등2)
76833,사회.역사(중등2),국내도서,중학교참고서,중2-문제집,사회.역사(중등2)
76834,수학(중등2),국내도서,중학교참고서,중2-문제집,수학(중등2)
76835,영어(중등2),국내도서,중학교참고서,중2-문제집,영어(중등2)
76836,중간.기말고사(중등2),국내도서,중학교참고서,중2-문제집,중간.기말고사(중등2)
76794,중2-자습서,국내도서,중학교참고서,중2-자습서,
76804,과학(중등2),국내도서,중학교참고서,중2-자습서,과학(중등2)
76805,국어(중등2),국내도서,중학교참고서,중2-자습서,국어(중등2)
76806,기술.가정(중등2),국내도서,중학교참고서,중2-자습서,기술.가정(중등2)
76811,기타(중등2),국내도서,중학교참고서,중2-자습서,기타(중등2)
76810,도덕(중등2),국내도서,중학교참고서,중2-자습서,도덕(중등2)
76807,사회.역사(중등2),국내도서,중학교참고서,중2-자습서,사회.역사(중등2)
76808,수학(중등2),국내도서,중학교참고서,중2-자습서,수학(중등2)
76809,영어(중등2),국내도서,중학교참고서,중2-자습서,영어(중등2)
76792,중3-문제집,국내도서,중학교참고서,중3-문제집,
76820,과학(중등3),국내도서,중학교참고서,중3-문제집,과학(중등3)
76821,국어(중등3),국내도서,중학교참고서,중3-문제집,국어(중등3)
76822,기술.가정(중등3),국내도서,중학교참고서,중3-문제집,기술.가정(중등3)
76828,기타(중등3),국내도서,중학교참고서,중3-문제집,기타(중등3)
76827,도덕(중등3),국내도서,중학교참고서,중3-문제집,도덕(중등3)
76823,사회.역사(중등3),국내도서,중학교참고서,중3-문제집,사회.역사(중등3)
76824,수학(중등3),국내도서,중학교참고서,중3-문제집,수학(중등3)
76825,영어(중등3),국내도서,중학교참고서,중3-문제집,영어(중등3)
76826,중간.기말고사(중등3),국내도서,중학교참고서,중3-문제집,중간.기말고사(중등3)
76795,중3-자습서,국내도서,중학교참고서,중3-자습서,
76796,과학(중등3),국내도서,중학교참고서,중3-자습서,과학(중등3)
76797,국어(중등3),국내도서,중학교참고서,중3-자습서,국어(중등3)
76798,기술.가정(중등3),국내도서,중학교참고서,중3-자습서,기술.가정(중등3)
76803,기타(중등3),국내도서,중학교참고서,중3-자습서,기타(중등3)
76802,도덕(중등3),국내도서,중학교참고서,중3-자습서,도덕(중등3)
76799,사회.역사(중등3),국내도서,중학교참고서,중3-자습서,사회.역사(중등3)
76800,수학(중등3),국내도서,중학교참고서,중3-자습서,수학(중등3)
76801,영어(중등3),국내도서,중학교참고서,중3-자습서,영어(중등3)
